,Costal,Blue,Green,Red,NIR,SWIR1,SWIR2,Longitude,Latitude,x,y,AOI,Target,Prediction
19,11734.0,10606.0,9587.0,8391.0,17650.0,10976.0,7526.0,-75.44678610481527,0.463298652380629,7200.0,4307.0,putumayo_20160311,coca,bosque
84,10728.0,9962.0,9576.0,9427.0,17842.0,15253.0,10236.0,-72.73652067206682,1.9799342938775335,2080.0,3780.0,guaviare_20160125,coca,cana
119,10970.0,9933.0,9326.0,7915.0,25723.0,14862.0,9007.0,-75.30806236175377,1.6890135174169498,5950.0,5915.0,caqueta_20160311,coca,bosque
231,9978.0,8867.0,7938.0,6873.0,18831.0,11465.0,7316.0,-72.32695231185544,2.0903440718931834,5018.0,2961.0,guaviare_20160820,coca,bosque
241,9639.0,8607.0,8141.0,7013.0,19154.0,12395.0,7869.0,-71.99222464959819,1.1313323648875986,7513.0,10033.0,guaviare_20160820,coca,cana
281,12007.0,10905.0,9720.0,8633.0,17360.0,11251.0,7751.0,-75.29567259824836,0.4710419669534381,8321.0,4250.0,putumayo_20160311,coca,bosque
298,11653.0,10844.0,10639.0,10700.0,18637.0,18509.0,13260.0,-75.02282992095226,1.0185001807562069,8065.0,10856.0,caqueta_20160311,coca,cana
329,10047.0,9056.0,8317.0,7286.0,19494.0,11543.0,7502.0,-72.18992785547371,1.466598991583364,6142.0,7561.0,guaviare_20160125,coca,bosque
347,12540.0,11381.0,10339.0,9175.0,19146.0,12079.0,8274.0,-75.35014805318708,0.7081195698332294,7917.0,2503.0,putumayo_20160311,coca,bosque
538,9695.0,8572.0,7670.0,6604.0,16650.0,10009.0,6801.0,-72.1448334350531,2.1422038338539573,6369.0,2576.0,guaviare_20160820,coca,bosque
564,11581.0,10412.0,9203.0,8046.0,14134.0,8712.0,6475.0,-75.26196292281548,1.8453547638975587,6292.0,4763.0,caqueta_20160311,coca,bosque
578,11878.0,10806.0,9675.0,8605.0,16918.0,10997.0,7737.0,-74.89948215139954,0.2725046457117788,11260.0,5713.0,putumayo_20160311,coca,bosque
585,11582.0,10481.0,9373.0,8254.0,16577.0,12043.0,8229.0,-75.23971668043995,1.8984193793831332,6457.0,4372.0,caqueta_20160311,coca,bosque
667,12788.0,11852.0,10751.0,9817.0,17600.0,11142.0,8325.0,-71.62288495963585,2.1461479503730585,10344.0,2539.0,guaviare_20160125,coca,bosque
682,9516.0,8438.0,7599.0,6467.0,16562.0,9893.0,6665.0,-72.09788297689886,1.4080656230941717,6726.0,7992.0,guaviare_20160820,coca,bosque
723,13463.0,12372.0,11271.0,10163.0,18077.0,11476.0,8429.0,-75.31308008397029,0.7729903946482504,8192.0,2025.0,putumayo_20160311,coca,bosque
772,10004.0,8981.0,8159.0,7091.0,17716.0,10610.0,7029.0,-72.17480315320245,1.3894558465079523,6255.0,8130.0,guaviare_20160125,coca,bosque
849,10261.0,9381.0,9186.0,8545.0,17872.0,14801.0,9605.0,-72.42257363277388,2.200587785665774,4307.0,2149.0,guaviare_20160820,coca,bosque
893,9842.0,8751.0,8079.0,7013.0,15829.0,10386.0,7024.0,-71.44000375790444,2.216297142078319,11601.0,2018.0,guaviare_20160820,coca,bosque
909,9773.0,8724.0,8191.0,6770.0,23486.0,14095.0,8156.0,-72.29813961139494,2.230324123299299,5230.0,1928.0,guaviare_20160820,coca,bosque
939,11893.0,10795.0,9563.0,8407.0,18026.0,11505.0,7670.0,-76.0108871118884,0.36771562691358656,3015.0,5011.0,putumayo_20160311,coca,bosque
1029,9855.0,8745.0,8053.0,6781.0,23559.0,13233.0,7711.0,-72.27598944237047,2.108284596960648,5396.0,2828.0,guaviare_20160820,coca,bosque
1037,10136.0,9054.0,8180.0,7051.0,17706.0,10290.0,6903.0,-72.38339380563524,1.8419472938329116,4702.0,4794.0,guaviare_20160125,coca,bosque
1044,12746.0,11779.0,10247.0,9181.0,14030.0,8519.0,6963.0,-75.28030449328959,1.8412807516187368,6156.0,4793.0,caqueta_20160311,coca,bosque
1136,9748.0,8692.0,7810.0,6688.0,17636.0,10668.0,7092.0,-72.12127433163603,1.9824980833742902,6546.0,3754.0,guaviare_20160820,coca,bosque
1140,10848.0,9691.0,8372.0,7332.0,10780.0,6808.0,5786.0,-75.48903455349593,1.6702490875998475,4608.0,6053.0,caqueta_20160311,coca,bosque
1207,11456.0,10359.0,9245.0,8092.0,15881.0,10797.0,7365.0,-75.25777763378794,1.8149570254149328,6323.0,4987.0,caqueta_20160311,coca,bosque
1243,9723.0,8704.0,8231.0,6980.0,22053.0,13327.0,8092.0,-72.11179497582862,1.582517169267669,6621.0,6705.0,guaviare_20160820,coca,cana
1245,11644.0,10517.0,9381.0,8220.0,18772.0,11323.0,7502.0,-75.91113824461164,0.2769482298820889,3755.0,5680.0,putumayo_20160311,coca,bosque
1289,9784.0,8705.0,8114.0,6881.0,18483.0,11226.0,7133.0,-71.43291755727478,2.137993448852903,11655.0,2596.0,guaviare_20160820,coca,bosque
1420,9705.0,8629.0,7860.0,6797.0,18011.0,11087.0,7128.0,-72.40981333656813,1.2822204797096821,4411.0,8923.0,guaviare_20160820,coca,bosque
1575,10578.0,9714.0,9304.0,9018.0,18161.0,15420.0,10219.0,-71.79907019342173,1.4270476413190523,9045.0,7849.0,guaviare_20160125,coca,cana
1587,11840.0,10664.0,9478.0,8422.0,16352.0,10421.0,7391.0,-75.37790071060229,0.43331151820360275,7711.0,4528.0,putumayo_20160311,coca,bosque
1631,10198.0,9174.0,8255.0,7273.0,18725.0,11369.0,7431.0,-72.40511927465734,1.818390351455033,4541.0,4968.0,guaviare_20160125,coca,bosque
1646,10925.0,10010.0,9365.0,8703.0,17834.0,14346.0,9520.0,-72.44552641400188,2.175275489710977,4237.0,2336.0,guaviare_20160125,coca,bosque
1837,9575.0,8510.0,7707.0,6657.0,18902.0,10033.0,6793.0,-72.01203882651703,1.5562188985666512,7362.0,6898.0,guaviare_20160820,coca,bosque
1856,9797.0,8699.0,7853.0,6693.0,17918.0,11206.0,7093.0,-72.4128555818821,1.8723581206273572,4383.0,4570.0,guaviare_20160820,coca,bosque
1882,10281.0,9204.0,8451.0,7157.0,24735.0,13555.0,8068.0,-72.61517365109086,1.9228152698320589,2881.0,4200.0,guaviare_20160820,coca,bosque
1962,10391.0,9437.0,9024.0,7895.0,20855.0,13271.0,8328.0,-72.47915178881017,1.9609866426202507,3990.0,3917.0,guaviare_20160125,coca,bosque
2072,9466.0,8468.0,7664.0,6641.0,14962.0,10405.0,7031.0,-71.93699207665748,1.0282833866045988,7924.0,10793.0,guaviare_20160820,coca,bosque
2097,9809.0,8755.0,8144.0,7034.0,19304.0,11645.0,7521.0,-72.04975062595382,1.901868022128498,7078.0,4348.0,guaviare_20160820,coca,bosque
2134,9790.0,8762.0,8266.0,6946.0,18268.0,10135.0,6748.0,-71.61784862661199,2.170521432579439,10281.0,2359.0,guaviare_20160820,coca,bosque
2143,11684.0,10525.0,9376.0,8197.0,18973.0,11447.0,7478.0,-75.97920683838973,0.30611605486749593,3250.0,5465.0,putumayo_20160311,coca,bosque
2229,9571.0,8517.0,7614.0,6625.0,15760.0,10019.0,6794.0,-71.9934878602231,1.5328827504511224,7500.0,7070.0,guaviare_20160820,coca,bosque
2266,10616.0,9652.0,9268.0,8030.0,19896.0,13275.0,8625.0,-75.31360114504128,1.7480449262448678,5909.0,5480.0,caqueta_20160311,coca,bosque
2340,9626.0,8595.0,8126.0,6821.0,20227.0,11707.0,7390.0,-71.87938505324351,1.4730955137674575,8348.0,7510.0,guaviare_20160820,coca,bosque
2343,12712.0,11627.0,10335.0,9187.0,19291.0,11640.0,8015.0,-75.2656291429238,0.8162844932692483,8544.0,1706.0,putumayo_20160311,coca,bosque
2405,10437.0,9436.0,8644.0,7565.0,17653.0,10634.0,7188.0,-71.53376290633243,2.1378196881851177,11006.0,2599.0,guaviare_20160125,coca,bosque
2546,10772.0,9954.0,9543.0,9255.0,17148.0,15385.0,10374.0,-72.61517365109086,1.9228152698320589,2981.0,4200.0,guaviare_20160125,coca,bosque
2652,11198.0,10093.0,8967.0,7793.0,16941.0,10610.0,7219.0,-75.89940855309175,0.22864247840203988,3842.0,6036.0,putumayo_20160311,coca,bosque
2671,10831.0,9855.0,9185.0,8102.0,15954.0,11641.0,8152.0,-75.29850155203079,1.778852792143268,6021.0,5253.0,caqueta_20160311,coca,bosque
2751,10335.0,9259.0,8455.0,7456.0,16466.0,10969.0,7274.0,-71.70916209574078,1.3127069249625933,9714.0,8692.0,guaviare_20160125,coca,bosque
2818,11449.0,10282.0,9367.0,8180.0,19760.0,12504.0,8057.0,-75.46073757018388,1.083876846512952,4817.0,10374.0,caqueta_20160311,coca,bosque
2829,11648.0,10532.0,9326.0,8169.0,16400.0,10687.0,7360.0,-76.17411992376672,0.46945622786138314,1804.0,4261.0,putumayo_20160311,coca,bosque
2839,9797.0,8738.0,8038.0,6863.0,17882.0,11289.0,7403.0,-72.41184764943678,1.7272975041249303,4392.0,5640.0,guaviare_20160820,coca,bosque
2841,9870.0,8779.0,8265.0,6856.0,21230.0,11872.0,7343.0,-72.43850247310878,1.9317765639027502,4192.0,4132.0,guaviare_20160820,coca,bosque
2980,11525.0,10421.0,9199.0,8079.0,16379.0,10708.0,7348.0,-75.9974131837815,0.4053029903126046,3115.0,4734.0,putumayo_20160311,coca,bosque
3042,9700.0,8629.0,7854.0,6708.0,18099.0,11020.0,7133.0,-72.36368226226594,1.7772540046377323,4749.0,5271.0,guaviare_20160820,coca,bosque
3127,10109.0,9120.0,8144.0,7185.0,13572.0,9326.0,6876.0,-72.4737861362124,1.421657310092945,4035.0,7895.0,guaviare_20160125,coca,bosque
3309,12246.0,11131.0,9962.0,8589.0,20959.0,11936.0,7751.0,-75.18218286778333,0.8894361661644612,9163.0,1167.0,putumayo_20160311,coca,bosque
3342,12188.0,11051.0,9907.0,8613.0,19788.0,12009.0,7917.0,-75.18420470242718,0.8810221273377897,9148.0,1229.0,putumayo_20160311,coca,bosque
3410,9583.0,8497.0,7653.0,6620.0,17122.0,10770.0,6954.0,-72.21296767382665,1.345584106477207,5872.0,8454.0,guaviare_20160820,coca,bosque
3455,10478.0,9633.0,9690.0,10194.0,18850.0,17634.0,11403.0,-72.49666857009227,2.1349595680941964,3758.0,2634.0,guaviare_20160820,coca,cana
3522,12495.0,11362.0,10189.0,9071.0,18983.0,11713.0,8019.0,-75.45625190616973,0.8031038769384503,7130.0,1803.0,putumayo_20160311,coca,bosque
3523,10938.0,10103.0,9574.0,9034.0,17282.0,13106.0,9001.0,-72.411608253954,2.1506793769197374,4489.0,2517.0,guaviare_20160125,coca,cana
3549,9638.0,8762.0,8241.0,6919.0,17220.0,12923.0,8427.0,-72.54276079670699,2.2170617961329366,3415.0,2029.0,guaviare_20160820,coca,cana
3576,9999.0,9002.0,8218.0,7109.0,20468.0,10977.0,7120.0,-71.91886513380474,1.5483597507543954,8154.0,6955.0,guaviare_20160125,coca,bosque
3687,10553.0,9589.0,8810.0,8145.0,15777.0,15138.0,9932.0,-72.38518442736692,1.9063439325132,4688.0,4319.0,guaviare_20160125,coca,bosque
3746,10899.0,9868.0,8836.0,7778.0,18310.0,10286.0,7211.0,-71.85198383847775,2.266694916461993,8641.0,1653.0,guaviare_20160125,coca,bosque
3775,12553.0,11475.0,10329.0,9142.0,19639.0,11977.0,8151.0,-75.37023948313524,0.7676932080430857,7768.0,2064.0,putumayo_20160311,coca,bosque
3794,10900.0,9815.0,8935.0,7675.0,18720.0,11951.0,7848.0,-75.32370498463075,1.6839898245778688,5834.0,5952.0,caqueta_20160311,coca,bosque
3862,10356.0,9499.0,9244.0,8835.0,19029.0,12992.0,8620.0,-72.54829475573584,2.0414909017861316,3376.0,3324.0,guaviare_20160820,coca,cana
3947,11597.0,10416.0,9486.0,8246.0,21505.0,10703.0,7464.0,-75.14459098036176,1.3403980100308637,7162.0,8484.0,caqueta_20160311,coca,bosque
3953,9686.0,8581.0,7749.0,6708.0,16538.0,10601.0,6876.0,-72.45895227326157,1.3084360091385496,4046.0,8730.0,guaviare_20160820,coca,bosque
4123,12596.0,11443.0,10289.0,9173.0,18316.0,11368.0,8023.0,-75.33370106213538,0.7040495754876136,8039.0,2533.0,putumayo_20160311,coca,bosque
4127,10287.0,9321.0,8665.0,7531.0,19435.0,11391.0,7460.0,-71.81414483726353,1.524491734728306,8932.0,7130.0,guaviare_20160125,coca,bosque
4146,10210.0,9171.0,8626.0,7007.0,27099.0,14069.0,8003.0,-72.35983993798187,1.8259158200717887,4877.0,4912.0,guaviare_20160125,coca,bosque
4209,10668.0,9505.0,8939.0,8075.0,16947.0,12248.0,8275.0,-72.00664458180286,0.810293381104204,7408.0,12402.0,guaviare_20160820,coca,bosque
4215,10769.0,9857.0,9156.0,8529.0,11949.0,13912.0,12465.0,-75.83753394206398,1.4561411333305292,2023.0,7630.0,caqueta_20160311,coca,bosque
4218,9770.0,8711.0,8136.0,6813.0,22184.0,12488.0,7661.0,-72.38573996118116,1.8033143292937686,4585.0,5079.0,guaviare_20160820,coca,bosque
4293,10771.0,9955.0,9771.0,9106.0,19763.0,14781.0,9539.0,-72.42987093985408,2.1082767849121486,4354.0,2830.0,guaviare_20160125,coca,bosque
4299,11924.0,10786.0,9479.0,8445.0,14636.0,10624.0,7272.0,-75.98129016393779,0.7130488477798026,3235.0,2466.0,putumayo_20160311,coca,bosque
4309,10593.0,9528.0,8666.0,7316.0,20338.0,12287.0,7806.0,-75.330451276644,1.704344622592978,5784.0,5802.0,caqueta_20160311,coca,bosque
4416,9710.0,8850.0,9212.0,7810.0,22985.0,12353.0,7163.0,-71.93233302478069,1.4499967929418138,7955.0,7681.0,guaviare_20160820,coca,cana
4597,11934.0,10855.0,9724.0,8597.0,18118.0,11237.0,7735.0,-75.22045030673006,0.42191825366013747,8879.0,4612.0,putumayo_20160311,coca,bosque
4598,12609.0,11564.0,10345.0,9291.0,17723.0,11591.0,8193.0,-75.47350793321472,0.8062231112170535,7002.0,1780.0,putumayo_20160311,coca,bosque
4684,11893.0,11167.0,10183.0,9516.0,16929.0,12264.0,8759.0,-71.93674820167558,1.5664091829935018,7921.0,6822.0,guaviare_20160820,coca,cana
4735,10116.0,9094.0,8308.0,7300.0,17421.0,10935.0,7319.0,-72.392439080242,1.7335068874522315,4636.0,5594.0,guaviare_20160125,coca,bosque
4744,10682.0,9662.0,8921.0,7788.0,19701.0,11545.0,7648.0,-72.24269395778049,2.117036364242398,5743.0,2763.0,guaviare_20160125,coca,bosque
4895,10943.0,9909.0,9252.0,8098.0,19874.0,14857.0,9204.0,-75.91039991484313,1.251489598366567,1482.0,9138.0,caqueta_20160311,coca,bosque
5187,10773.0,9887.0,9416.0,8816.0,18786.0,16351.0,11173.0,-75.31535229145194,1.7356953505638772,5896.0,5571.0,caqueta_20160311,coca,bosque
5194,10785.0,9742.0,8604.0,7816.0,12704.0,10879.0,8384.0,-75.25103117382655,1.7922949032631963,6373.0,5154.0,caqueta_20160311,coca,bosque
