Costal,Blue,Green,Red,NIR,SWIR1,SWIR2,Longitude,Latitude,x,y,AOI,Target,Prediction
10240.0,9402.0,8953.0,8483.0,18329.0,13872.0,9293.0,-76.40093143175073,3.2176266176532864,6897.0,5324.0,cauca_20190903,cana,bosque
9989.0,9035.0,8397.0,7345.0,17278.0,10388.0,7421.0,-76.44354189902315,3.1888065124470364,6621.0,5536.0,cauca_20190818,cana,bosque
10474.0,9597.0,8937.0,8714.0,13497.0,15639.0,11981.0,-76.44285932380643,3.1832453136917565,6626.0,5577.0,cauca_20190818,cana,bosque
10002.0,9045.0,8128.0,7362.0,15597.0,12262.0,8018.0,-76.44881049576803,3.192326289402567,6582.0,5510.0,cauca_20190818,cana,bosque
10277.0,9494.0,9156.0,8665.0,18879.0,15833.0,10505.0,-76.42866743734407,3.1683422035177,6731.0,5687.0,cauca_20190818,cana,bosque
10103.0,9211.0,8579.0,7645.0,16551.0,11990.0,8280.0,-76.43109492396299,3.1669822052731846,6713.0,5697.0,cauca_20190818,cana,bosque
10129.0,9244.0,8801.0,8115.0,17489.0,15276.0,10179.0,-76.40993149074252,3.1861400312562638,6870.0,5556.0,cauca_20190818,cana,bosque
11116.0,10341.0,9684.0,9038.0,20938.0,13819.0,9307.0,-76.3704065223149,3.098688553017664,7122.0,6201.0,cauca_20190903,cana,coca
9885.0,8919.0,8055.0,7034.0,6582.0,5690.0,4844.0,-76.43286200368581,3.2725255322531814,6701.0,4919.0,cauca_20190818,cana,bosque
10197.0,9375.0,8829.0,7945.0,19996.0,12956.0,8545.0,-76.36854824785509,3.12283968434602,7136.0,6023.0,cauca_20190903,cana,bosque
10513.0,9623.0,8935.0,7850.0,17458.0,10713.0,7652.0,-76.37501957321312,3.219832699194465,7089.0,5308.0,cauca_20190903,cana,bosque
11090.0,10310.0,10239.0,8637.0,29251.0,14932.0,8945.0,-76.34635131434437,3.178763745371255,7301.0,5611.0,cauca_20190903,cana,bosque
8554.0,7473.0,6084.0,5167.0,6011.0,4454.0,4592.0,-76.34650497410351,3.1931443524683054,7300.0,5505.0,cauca_20190903,cana,bosque
10073.0,9180.0,8843.0,7777.0,19250.0,13551.0,9027.0,-76.40841563323225,3.061466320412351,6880.0,6475.0,cauca_20190818,cana,bosque
9893.0,8882.0,8343.0,7190.0,18768.0,11046.0,7411.0,-76.4409837855047,3.193286977687413,6600.0,5503.0,cauca_20190903,cana,bosque
10287.0,9465.0,8833.0,8426.0,16818.0,16242.0,11043.0,-76.39932521777833,3.1272759172408144,6948.0,5990.0,cauca_20190818,cana,bosque
9104.0,8075.0,7684.0,6182.0,18156.0,7097.0,4785.0,-76.21485064003657,3.2620963061214483,8316.0,4998.0,cauca_20190818,cana,bosque
10201.0,9277.0,8948.0,7931.0,19900.0,11882.0,7939.0,-76.37046117056674,3.140880863226262,7122.0,5890.0,cauca_20190903,cana,bosque
9448.0,8489.0,7867.0,6792.0,15331.0,9309.0,6704.0,-76.25775208764702,3.2423708249916783,7998.0,5143.0,cauca_20190818,cana,bosque
10083.0,9097.0,8608.0,6925.0,22607.0,10381.0,6596.0,-76.36825208358842,3.2057325088764594,7139.0,5412.0,cauca_20190903,cana,bosque
10191.0,9268.0,8914.0,8211.0,17049.0,11945.0,8297.0,-76.35592249186719,3.169797107185651,7230.0,5677.0,cauca_20190903,cana,bosque
10347.0,9451.0,8568.0,7723.0,12176.0,7300.0,5762.0,-76.35268924591279,3.174414057353054,7254.0,5643.0,cauca_20190903,cana,bosque
10258.0,9495.0,9444.0,8565.0,21500.0,15008.0,9561.0,-76.43176898024943,3.06659044684809,6707.0,6437.0,cauca_20190818,cana,bosque
10545.0,9710.0,9103.0,8759.0,14383.0,14504.0,11428.0,-76.43993496487049,3.2154014541257006,6648.0,5340.0,cauca_20190818,cana,bosque
10686.0,9856.0,9420.0,8382.0,20093.0,13256.0,8892.0,-76.3798705969775,3.2138568079117817,7053.0,5352.0,cauca_20190903,cana,bosque
10422.0,9595.0,9179.0,8317.0,20850.0,13224.0,8996.0,-76.36275399824311,3.1299019452369237,7179.0,5971.0,cauca_20190903,cana,bosque
10079.0,9180.0,8572.0,7650.0,18982.0,11332.0,7849.0,-76.46447648422294,3.199358369246767,6466.0,5458.0,cauca_20190818,cana,bosque
10393.0,9452.0,8779.0,8170.0,16387.0,12823.0,9579.0,-76.40180197626778,3.162816816522473,6890.0,5728.0,cauca_20190903,cana,bosque
9891.0,8942.0,8353.0,7016.0,22324.0,11964.0,7669.0,-76.43233202614844,3.183260060111067,6704.0,5577.0,cauca_20190818,cana,bosque
10162.0,9325.0,9015.0,7996.0,21476.0,13613.0,8888.0,-76.45610648060513,3.197878061151253,6528.0,5469.0,cauca_20190818,cana,bosque
9930.0,8982.0,8176.0,7048.0,18415.0,8872.0,6160.0,-76.30559941791223,3.186278186403443,7603.0,5556.0,cauca_20190903,cana,bosque
10397.0,9577.0,9175.0,8369.0,20115.0,13884.0,9114.0,-76.57837689563256,3.104502129638174,5621.0,6156.0,cauca_20190818,cana,bosque
10209.0,9331.0,8337.0,7978.0,16907.0,10502.0,7380.0,-76.3629725621065,3.193936550228312,7218.0,5499.0,cauca_20190818,cana,coca
10318.0,9372.0,8388.0,7403.0,16014.0,9490.0,7147.0,-76.48454442435728,3.0739795115774142,6316.0,6382.0,cauca_20190818,cana,coca
10229.0,9354.0,8933.0,8408.0,18516.0,14253.0,9575.0,-76.39359217794629,3.180057428089191,6991.0,5601.0,cauca_20190818,cana,bosque
10992.0,10046.0,9333.0,8102.0,20300.0,10612.0,7664.0,-76.38198905189772,3.0802228242789327,7036.0,6337.0,cauca_20190903,cana,coca
10349.0,9439.0,9474.0,8242.0,20495.0,11926.0,7836.0,-76.38795192921539,3.201228904942807,6993.0,5445.0,cauca_20190903,cana,bosque
10397.0,9543.0,9144.0,8567.0,15853.0,13649.0,9476.0,-76.52248487502365,3.0881698990991504,6035.0,6277.0,cauca_20190818,cana,bosque
10326.0,9566.0,8224.0,7735.0,14771.0,9289.0,7057.0,-76.46135864464321,3.1897308827061113,6449.0,5529.0,cauca_20190903,cana,coca
10238.0,9410.0,8884.0,8533.0,15934.0,15847.0,10703.0,-76.43437117233675,3.193838921846612,6689.0,5499.0,cauca_20190818,cana,bosque
10293.0,9457.0,9365.0,8384.0,22251.0,15393.0,9799.0,-76.53211366203232,3.121120683668377,5964.0,6034.0,cauca_20190818,cana,bosque
10992.0,10024.0,9830.0,9154.0,18007.0,13017.0,9771.0,-76.3662607445468,3.1281336892549247,7153.0,5984.0,cauca_20190903,cana,bosque
10445.0,9569.0,9152.0,8449.0,16665.0,12605.0,9009.0,-76.38993734715817,3.172058110794102,6978.0,5660.0,cauca_20190903,cana,bosque
11455.0,10497.0,9617.0,8905.0,15512.0,10533.0,8092.0,-76.36043485537867,3.110640201875696,7196.0,6113.0,cauca_20190903,cana,coca
9464.0,8478.0,7859.0,6773.0,18061.0,9840.0,6784.0,-76.22993542321217,3.234129041292188,8164.0,5204.0,cauca_20190903,cana,bosque
9817.0,8809.0,8316.0,7032.0,19459.0,11400.0,7655.0,-76.44215759918762,3.1638465598344823,6631.0,5720.0,cauca_20190818,cana,bosque
10266.0,9442.0,9223.0,8622.0,19276.0,15352.0,10293.0,-76.44935416408201,3.1950387603516655,6578.0,5490.0,cauca_20190818,cana,bosque
9591.0,8598.0,7914.0,6787.0,16359.0,9155.0,6662.0,-76.35430887468574,3.1744119272867577,7282.0,5643.0,cauca_20190818,cana,bosque
9837.0,8833.0,7978.0,6911.0,19788.0,9454.0,6351.0,-76.4923923096399,3.184124095950924,6259.0,5570.0,cauca_20190818,cana,bosque
9822.0,8855.0,8137.0,7041.0,19152.0,10918.0,7282.0,-76.36106602656753,3.181050706317602,7232.0,5594.0,cauca_20190818,cana,bosque
15177.0,15747.0,15380.0,16798.0,21459.0,21043.0,17541.0,-76.54199140641461,3.045681121546286,5890.0,6590.0,cauca_20190818,cana,bosque
9199.0,8161.0,6862.0,6196.0,7077.0,5362.0,5037.0,-76.35161831953309,3.1811988513292646,7262.0,5593.0,cauca_20190903,cana,bosque
10432.0,9521.0,8315.0,8339.0,7171.0,12712.0,12221.0,-76.40248811858993,3.1712271069302367,6925.0,5666.0,cauca_20190818,cana,bosque
11381.0,10509.0,9856.0,9346.0,17336.0,13045.0,9314.0,-76.3650165330866,3.105207570244398,7162.0,6153.0,cauca_20190903,cana,coca
11110.0,10107.0,9520.0,8708.0,20643.0,12734.0,8384.0,-76.35403399306574,3.1706135957090535,7244.0,5671.0,cauca_20190903,cana,coca
10768.0,10059.0,9738.0,9059.0,17671.0,15108.0,10318.0,-76.42325376623597,3.2549030315565206,6732.0,5049.0,cauca_20190903,cana,bosque
10687.0,9855.0,9624.0,8910.0,18371.0,14856.0,10769.0,-76.55393126672948,3.0907016280494384,5802.0,6258.0,cauca_20190818,cana,bosque
10697.0,9905.0,9258.0,8506.0,19691.0,13738.0,9193.0,-76.3806963295597,3.22565862797644,7047.0,5265.0,cauca_20190903,cana,bosque
9985.0,9102.0,8568.0,7409.0,21610.0,12196.0,7903.0,-76.4602758641757,3.1875618447712726,6497.0,5545.0,cauca_20190818,cana,bosque
15202.0,14783.0,14170.0,13861.0,24249.0,18683.0,14056.0,-76.35014160003301,3.1873058450511986,7273.0,5548.0,cauca_20190903,cana,bosque
13164.0,12385.0,11340.0,10966.0,17481.0,13448.0,10200.0,-76.38298270768773,3.117936720803631,7029.0,6059.0,cauca_20190903,cana,bosque
10346.0,9549.0,9207.0,8648.0,18998.0,14496.0,9591.0,-76.40181182777748,3.1701427082328397,6890.0,5674.0,cauca_20190903,cana,bosque
10266.0,9398.0,8579.0,7699.0,15322.0,10174.0,7533.0,-76.30405168468992,3.135810769953458,7614.0,5928.0,cauca_20190903,cana,bosque
10482.0,9600.0,9199.0,8769.0,15777.0,13542.0,9705.0,-76.37001593918292,3.2126491371502923,7126.0,5361.0,cauca_20190903,cana,bosque
10068.0,9206.0,8787.0,7825.0,18670.0,12100.0,7825.0,-76.41117735351814,3.2089299176242307,6861.0,5388.0,cauca_20190818,cana,bosque
10738.0,9882.0,8690.0,8977.0,6784.0,10253.0,10926.0,-76.3570277749823,3.189331762602138,7222.0,5533.0,cauca_20190903,cana,bosque
10809.0,9773.0,9334.0,8290.0,19889.0,11633.0,7978.0,-76.38037605720157,3.0852445798625636,7048.0,6300.0,cauca_20190903,cana,coca
10339.0,9548.0,9268.0,8782.0,19600.0,15575.0,10585.0,-76.45019472611739,3.2168791437730215,6572.0,5329.0,cauca_20190818,cana,bosque
10810.0,9952.0,9274.0,9162.0,15780.0,14709.0,10326.0,-76.37215329945897,3.092716942378075,7109.0,6245.0,cauca_20190903,cana,bosque
10275.0,9393.0,8654.0,7630.0,20012.0,13109.0,9129.0,-76.31969589692905,3.126294196659146,7498.0,5998.0,cauca_20190903,cana,bosque
11280.0,10661.0,9847.0,9981.0,15564.0,18670.0,14290.0,-76.42032469811296,3.1866683424978763,6753.0,5552.0,cauca_20190903,cana,coca
10962.0,10204.0,8751.0,8301.0,14354.0,10801.0,8312.0,-76.3219212708584,3.1785241195391514,7482.0,5613.0,cauca_20190903,cana,coca
9867.0,8862.0,8325.0,7050.0,20853.0,11854.0,7608.0,-76.4313553597781,3.160063021477607,6711.0,5748.0,cauca_20190818,cana,bosque
10299.0,9407.0,8738.0,7736.0,19711.0,12611.0,8154.0,-76.31545675421889,3.189657330184415,7530.0,5531.0,cauca_20190903,cana,bosque
9873.0,8903.0,7801.0,6846.0,12819.0,7319.0,5766.0,-76.35856243418813,3.2271808977318956,7211.0,5254.0,cauca_20190903,cana,bosque
11560.0,10498.0,10259.0,8965.0,20892.0,11791.0,8455.0,-76.36165629428847,3.1159296448866756,7187.0,6074.0,cauca_20190903,cana,bosque
10336.0,9431.0,8821.0,7526.0,22450.0,11982.0,7799.0,-76.41555530083048,3.153165906415788,6788.0,5799.0,cauca_20190903,cana,bosque
11001.0,10127.0,9915.0,9080.0,18319.0,13728.0,9414.0,-76.37916198068014,3.188623870257821,7058.0,5538.0,cauca_20190903,cana,bosque
9946.0,8930.0,8257.0,7186.0,20008.0,10848.0,7286.0,-76.4865959387936,3.1890162635775376,6302.0,5534.0,cauca_20190818,cana,bosque
10035.0,9127.0,8167.0,7036.0,17414.0,11874.0,8287.0,-76.36633054593575,3.1815863835489337,7153.0,5590.0,cauca_20190903,cana,bosque
10404.0,9512.0,9025.0,8077.0,16760.0,11621.0,8140.0,-76.36827286664011,3.221334152959258,7139.0,5297.0,cauca_20190903,cana,bosque
10271.0,9496.0,7955.0,6970.0,16832.0,9125.0,6802.0,-76.34958583488321,3.175096471005727,7317.0,5638.0,cauca_20190818,cana,bosque
10112.0,9214.0,8731.0,7763.0,21744.0,12130.0,7930.0,-76.36611237150305,3.220658731271798,7155.0,5302.0,cauca_20190903,cana,bosque
10203.0,9359.0,9036.0,7823.0,22197.0,13213.0,8503.0,-76.36771435732888,3.2073612318086693,7143.0,5400.0,cauca_20190903,cana,bosque
10366.0,9547.0,9234.0,8536.0,18898.0,14104.0,9633.0,-76.41205121011588,3.156833625384647,6814.0,5772.0,cauca_20190903,cana,bosque
