Costal,Blue,Green,Red,NIR,SWIR1,SWIR2,Longitude,Latitude,x,y,AOI,Target,Prediction
10628.0,9630.0,8682.0,7635.0,18300.0,11348.0,7559.0,-72.09416255914068,2.2200391850081176,6844.0,2001.0,guaviare_20160125,coca,coca
11232.0,10146.0,9511.0,8343.0,18440.0,12152.0,8177.0,-75.33560308118902,0.8860326579966171,5745.0,11832.0,caqueta_20160311,coca,coca
9836.0,8795.0,8080.0,6916.0,19394.0,12767.0,7907.0,-72.23283091689964,2.2064809612667133,5715.0,2103.0,guaviare_20160820,coca,coca
11272.0,10247.0,9596.0,8580.0,19308.0,15406.0,10253.0,-75.15576383664849,1.002754255719205,7079.0,10972.0,caqueta_20160311,coca,coca
11069.0,9953.0,8967.0,7796.0,18844.0,11583.0,7494.0,-75.65300856492603,0.08929114682158146,5670.0,7063.0,putumayo_20160311,coca,coca
9534.0,8436.0,7644.0,6661.0,16008.0,10927.0,7196.0,-71.96914051003274,0.9087871457290659,7686.0,11675.0,guaviare_20160820,coca,coca
11108.0,10022.0,9293.0,8040.0,20319.0,11890.0,7891.0,-75.41582859521807,0.979797140676369,5150.0,11141.0,caqueta_20160311,coca,coca
10954.0,9886.0,9220.0,7707.0,24535.0,12961.0,7868.0,-75.38068674635232,1.3230021679514652,5411.0,8612.0,caqueta_20160311,coca,coca
10247.0,9174.0,8279.0,7295.0,16633.0,9871.0,6827.0,-71.53184693808097,1.1397551697217236,11033.0,9967.0,guaviare_20160125,coca,coca
11155.0,10114.0,9169.0,8088.0,16734.0,13141.0,9050.0,-75.44736283461606,1.6615739944449035,4917.0,6117.0,caqueta_20160311,coca,coca
11379.0,10372.0,9771.0,8704.0,19629.0,15063.0,10755.0,-75.3165959102805,0.9063904350247494,5886.0,11682.0,caqueta_20160311,coca,coca
11478.0,10411.0,9846.0,8347.0,23748.0,15502.0,9305.0,-75.29581182812959,1.8256719842494058,6041.0,4908.0,caqueta_20160311,coca,coca
10632.0,9647.0,9001.0,7962.0,16558.0,12675.0,8571.0,-75.86882274163763,1.4778401169775852,1791.0,7470.0,caqueta_20160311,coca,coca
12549.0,11476.0,10200.0,9075.0,17655.0,11117.0,7891.0,-75.33209748347046,0.8814189349846275,8051.0,1226.0,putumayo_20160311,coca,coca
10336.0,9323.0,8535.0,7391.0,20109.0,11462.0,7445.0,-72.08395599039731,1.9848719113924258,6923.0,3736.0,guaviare_20160125,coca,coca
11239.0,10242.0,9552.0,8673.0,17573.0,16657.0,11112.0,-75.3683618593264,0.8739516413983949,5502.0,11921.0,caqueta_20160311,coca,coca
10513.0,9521.0,8865.0,7989.0,18202.0,13786.0,9001.0,-75.30806643175397,1.7146620513385922,5950.0,5726.0,caqueta_20160311,coca,coca
10720.0,9830.0,9414.0,8665.0,19930.0,15970.0,10595.0,-75.31454337448197,1.7371882564811436,5902.0,5560.0,caqueta_20160311,coca,coca
11522.0,10385.0,9256.0,8087.0,17412.0,11138.0,7552.0,-75.97125882551268,0.34980897300336344,3309.0,5143.0,putumayo_20160311,coca,coca
11690.0,10584.0,9427.0,8521.0,17153.0,13621.0,9074.0,-75.11361315233405,1.9547511172406955,7392.0,3957.0,caqueta_20160311,coca,coca
10167.0,9210.0,8284.0,7294.0,17184.0,10310.0,7068.0,-72.30327169129627,1.4062806584211764,5301.0,8007.0,guaviare_20160125,coca,coca
11878.0,10813.0,10028.0,8742.0,22146.0,14569.0,9270.0,-76.16292918675815,0.44327158479488615,1887.0,4454.0,putumayo_20160311,coca,coca
11297.0,10256.0,9309.0,8362.0,17653.0,10573.0,7711.0,-71.932415610842,1.0273303641743237,8058.0,10800.0,guaviare_20160125,coca,coca
9766.0,8682.0,8024.0,6831.0,19410.0,12109.0,7637.0,-72.03195133418362,1.9900642581063137,7209.0,3697.0,guaviare_20160820,coca,coca
10176.0,9197.0,8285.0,7353.0,15533.0,10505.0,7205.0,-72.47486293616191,1.4224719542955968,4027.0,7889.0,guaviare_20160125,coca,coca
11556.0,10427.0,9355.0,8134.0,18923.0,11212.0,7669.0,-75.99040039968442,0.3708387913289121,3167.0,4988.0,putumayo_20160311,coca,coca
9502.0,8423.0,7755.0,6588.0,18282.0,11422.0,7268.0,-71.97126696876654,1.2137056230517287,7668.0,9425.0,guaviare_20160820,coca,coca
